,anime,scores,members,datetime
0,Hataraku Maou-sama!!,"
N/A
        ","
276K
        ",2022-07-13 02:57:47.781149
1,"Kanojo, Okarishimasu 2nd Season","
6.79
        ","
261K
        ",2022-07-13 02:57:47.781149
2,Overlord IV,"
8.32
        ","
254K
        ",2022-07-13 02:57:47.781149
3,Made in Abyss: Retsujitsu no Ougonkyou,"
8.75
        ","
202K
        ",2022-07-13 02:57:47.781149
4,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,"
8.17
        ","
199K
        ",2022-07-13 02:57:47.781149
5,Yofukashi no Uta,"
8.00
        ","
184K
        ",2022-07-13 02:57:47.781149
6,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,"
N/A
        ","
156K
        ",2022-07-13 02:57:47.781149
7,Mamahaha no Tsurego ga Motokano datta,"
7.29
        ","
104K
        ",2022-07-13 02:57:47.781149
8,Engage Kiss,"
7.31
        ","
86K
        ",2022-07-13 02:57:47.781149
9,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita","
6.68
        ","
86K
        ",2022-07-13 02:57:47.781149
10,Isekai Meikyuu de Harem wo,"
7.22
        ","
85K
        ",2022-07-13 02:57:47.781149
11,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,"
7.33
        ","
81K
        ",2022-07-13 02:57:47.781149
12,Soredemo Ayumu wa Yosetekuru,"
7.41
        ","
81K
        ",2022-07-13 02:57:47.781149
13,Isekai Ojisan,"
7.88
        ","
69K
        ",2022-07-13 02:57:47.781149
14,Lycoris Recoil,"
7.93
        ","
68K
        ",2022-07-13 02:57:47.781149
15,Kumichou Musume to Sewagakari,"
7.73
        ","
56K
        ",2022-07-13 02:57:47.781149
16,Shadows House 2nd Season,"
7.85
        ","
55K
        ",2022-07-13 02:57:47.781149
17,Saikin Yatotta Maid ga Ayashii,"
N/A
        ","
41K
        ",2022-07-13 02:57:47.781149
18,Kuro no Shoukanshi,"
7.17
        ","
40K
        ",2022-07-13 02:57:47.781149
19,Isekai Yakkyoku,"
7.62
        ","
39K
        ",2022-07-13 02:57:47.781149
20,Hoshi no Samidare,"
6.34
        ","
30K
        ",2022-07-13 02:57:47.781149
21,Tokyo Mew Mew New ♡,"
7.04
        ","
28K
        ",2022-07-13 02:57:47.781149
22,Utawarerumono: Futari no Hakuoro,"
7.27
        ","
21K
        ",2022-07-13 02:57:47.781149
23,Orient: Awajishima Gekitou-hen,"
7.05
        ","
20K
        ",2022-07-13 02:57:47.781149
24,Jashin-chan Dropkick X,"
7.63
        ","
17K
        ",2022-07-13 02:57:47.781149
25,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,"
6.70
        ","
16K
        ",2022-07-13 02:57:47.781149
26,Bucchigire!,"
6.52
        ","
16K
        ",2022-07-13 02:57:47.781149
27,Love Live! Superstar!! 2nd Season,"
N/A
        ","
14K
        ",2022-07-13 02:57:47.781149
28,Fuuto Tantei,"
N/A
        ","
14K
        ",2022-07-13 02:57:47.781149
29,Prima Doll,"
6.83
        ","
13K
        ",2022-07-13 02:57:47.781149
30,Warau Arsnotoria Sun!,"
6.34
        ","
12K
        ",2022-07-13 02:57:47.781149
31,Kami Kuzu☆Idol,"
6.70
        ","
12K
        ",2022-07-13 02:57:47.781149
32,Yurei Deco,"
6.43
        ","
10K
        ",2022-07-13 02:57:47.781149
33,Teppen!!!!!!!!!!!!!!!,"
6.35
        ","
9.8K
        ",2022-07-13 02:57:47.781149
34,Shoot! Goal to the Future,"
5.29
        ","
8.4K
        ",2022-07-13 02:57:47.781149
35,Musashino!,"
4.57
        ","
7.6K
        ",2022-07-13 02:57:47.781149
36,Shin Tennis no Ouji-sama: U-17 World Cup,"
7.05
        ","
7.0K
        ",2022-07-13 02:57:47.781149
37,KJ File,"
N/A
        ","
6.6K
        ",2022-07-13 02:57:47.781149
38,Extreme Hearts,"
6.24
        ","
5.6K
        ",2022-07-13 02:57:47.781149
39,Shine Post,"
6.72
        ","
4.8K
        ",2022-07-13 02:57:47.781149
40,Yoru wa Neko to Issho,"
N/A
        ","
3.5K
        ",2022-07-13 02:57:47.781149
41,Cardfight!! Vanguard: will+Dress,"
6.55
        ","
2.4K
        ",2022-07-13 02:57:47.781149
42,Chimimo,"
6.25
        ","
1.9K
        ",2022-07-13 02:57:47.781149
43,Hanabi-chan wa Okuregachi,"
6.07
        ","
1.8K
        ",2022-07-13 02:57:47.781149
44,Xin Weiqi Shaonian,"
N/A
        ","
464
        ",2022-07-13 02:57:47.781149
45,Iii Icecrin Double,"
N/A
        ","
164
        ",2022-07-13 02:57:47.781149
46,One Piece,"
8.65
        ","
1.9M
        ",2022-07-13 02:57:47.781149
47,Boruto: Naruto Next Generations,"
5.81
        ","
760K
        ",2022-07-13 02:57:47.781149
48,Detective Conan,"
8.16
        ","
312K
        ",2022-07-13 02:57:47.781149
49,Summertime Render,"
8.41
        ","
223K
        ",2022-07-13 02:57:47.781149
50,Kakkou no Iinazuke,"
7.33
        ","
169K
        ",2022-07-13 02:57:47.781149
51,Ao Ashi,"
8.03
        ","
96K
        ",2022-07-13 02:57:47.781149
52,Crayon Shin-chan,"
7.75
        ","
73K
        ",2022-07-13 02:57:47.781149
53,Pokemon (2019),"
7.20
        ","
66K
        ",2022-07-13 02:57:47.781149
54,Dragon Quest: Dai no Daibouken (2020),"
7.16
        ","
60K
        ",2022-07-13 02:57:47.781149
55,Kingdom 4th Season,"
8.80
        ","
31K
        ",2022-07-13 02:57:47.781149
56,Love All Play,"
6.30
        ","
29K
        ",2022-07-13 02:57:47.781149
57,Digimon Ghost Game,"
6.99
        ","
17K
        ",2022-07-13 02:57:47.781149
58,Doraemon (2005),"
7.62
        ","
17K
        ",2022-07-13 02:57:47.781149
59,Gudetama,"
7.05
        ","
11K
        ",2022-07-13 02:57:47.781149
60,Sazae-san,"
6.10
        ","
7.2K
        ",2022-07-13 02:57:47.781149
61,Atasha Kawashiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu,"
5.65
        ","
6.6K
        ",2022-07-13 02:57:47.781149
62,Nintama Rantarou,"
7.07
        ","
6.6K
        ",2022-07-13 02:57:47.781149
63,Delicious Party♡Precure,"
7.30
        ","
6.1K
        ",2022-07-13 02:57:47.781149
64,Chibi Maruko-chan (1995),"
7.27
        ","
4.3K
        ",2022-07-13 02:57:47.781149
65,Waccha PriMagi!,"
6.63
        ","
4.0K
        ",2022-07-13 02:57:47.781149
66,Yu☆Gi☆Oh!: Go Rush!!,"
5.65
        ","
3.5K
        ",2022-07-13 02:57:47.781149
67,Shadowverse Flame,"
6.26
        ","
3.3K
        ",2022-07-13 02:57:47.781149
68,Sore Ike! Anpanman,"
6.55
        ","
3.1K
        ",2022-07-13 02:57:47.781149
69,Bonobono (TV 2016),"
6.40
        ","
2.7K
        ",2022-07-13 02:57:47.781149
70,My Daughter is a Zombie,"
N/A
        ","
2.7K
        ",2022-07-13 02:57:47.781149
71,Ninjala (TV),"
5.66
        ","
1.8K
        ",2022-07-13 02:57:47.781149
72,Ojarumaru,"
6.39
        ","
1.7K
        ",2022-07-13 02:57:47.781149
73,Youkai Watch ♪,"
6.24
        ","
1.7K
        ",2022-07-13 02:57:47.781149
74,Shikaru Neko,"
N/A
        ","
1.5K
        ",2022-07-13 02:57:47.781149
75,Fushigi Dagashiya: Zenitendou,"
6.03
        ","
1.3K
        ",2022-07-13 02:57:47.781149
76,Puzzle & Dragon,"
N/A
        ","
1.2K
        ",2022-07-13 02:57:47.781149
77,Mobile Suit Gundam: Iron-Blooded Orphans Special Edition,"
N/A
        ","
1.1K
        ",2022-07-13 02:57:47.781149
78,Chiikawa,"
5.72
        ","
1.1K
        ",2022-07-13 02:57:47.781149
79,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,"
N/A
        ","
923
        ",2022-07-13 02:57:47.781149
80,Knyacki!,"
6.15
        ","
839
        ",2022-07-13 02:57:47.781149
81,Hanakappa,"
6.01
        ","
680
        ",2022-07-13 02:57:47.781149
82,Shiawase Haitatsu Taneko,"
N/A
        ","
671
        ",2022-07-13 02:57:47.781149
83,Uchuu Nanchara Kotetsu-kun,"
N/A
        ","
627
        ",2022-07-13 02:57:47.781149
84,Teikou Penguin,"
N/A
        ","
551
        ",2022-07-13 02:57:47.781149
85,Kirin the Noop,"
N/A
        ","
502
        ",2022-07-13 02:57:47.781149
86,Cap Kakumei Bottleman DX,"
N/A
        ","
472
        ",2022-07-13 02:57:47.781149
87,Shimajirou no Wow!,"
N/A
        ","
441
        ",2022-07-13 02:57:47.781149
88,Mori no Ratio,"
N/A
        ","
398
        ",2022-07-13 02:57:47.781149
89,Manul no Yuube,"
N/A
        ","
396
        ",2022-07-13 02:57:47.781149
90,Duel Masters King Max,"
N/A
        ","
393
        ",2022-07-13 02:57:47.781149
91,Gohan Kaijuu Pap,"
N/A
        ","
369
        ",2022-07-13 02:57:47.781149
92,Yowamushi Monsters,"
N/A
        ","
351
        ",2022-07-13 02:57:47.781149
93,Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season,"
N/A
        ","
348
        ",2022-07-13 02:57:47.781149
94,Bite-Choicar,"
N/A
        ","
333
        ",2022-07-13 02:57:47.781149
95,Norimono Man: Mobile Land no Car-kun,"
N/A
        ","
333
        ",2022-07-13 02:57:47.781149
96,Insect Land,"
N/A
        ","
318
        ",2022-07-13 02:57:47.781149
97,Robot Pulta,"
N/A
        ","
314
        ",2022-07-13 02:57:47.781149
98,Xi Yangyang Yu Hui Tailang: Juezhan Ci Shidai,"
N/A
        ","
307
        ",2022-07-13 02:57:47.781149
99,Konigiri-kun,"
N/A
        ","
278
        ",2022-07-13 02:57:47.781149
100,Liv & Bell,"
N/A
        ","
276
        ",2022-07-13 02:57:47.781149
101,Beads no Mori no Rabi,"
N/A
        ","
274
        ",2022-07-13 02:57:47.781149
102,Fuwafuwa Hour: Pui Pui & Muu Muu,"
N/A
        ","
271
        ",2022-07-13 02:57:47.781149
103,Otoppe,"
N/A
        ","
268
        ",2022-07-13 02:57:47.781149
104,Oidon to,"
N/A
        ","
244
        ",2022-07-13 02:57:47.781149
105,Keito no Yousei: Knit to Wool,"
N/A
        ","
237
        ",2022-07-13 02:57:47.781149
106,Unicorn no Kyupi,"
N/A
        ","
237
        ",2022-07-13 02:57:47.781149
107,Pakkororin,"
N/A
        ","
221
        ",2022-07-13 02:57:47.781149
108,Onigiri ni Naritai Cogimyun,"
N/A
        ","
217
        ",2022-07-13 02:57:47.781149
109,Reizouko no Tsukenosuke!,"
N/A
        ","
206
        ",2022-07-13 02:57:47.781149
110,Origami Ninja Koyankinte,"
N/A
        ","
187
        ",2022-07-13 02:57:47.781149
111,Pororo Donghwanala,"
N/A
        ","
186
        ",2022-07-13 02:57:47.781149
112,Oshiri Tantei 6th Season,"
N/A
        ","
125
        ",2022-07-13 02:57:47.781149
113,Titipo Titipo 3,"
N/A
        ","
123
        ",2022-07-13 02:57:47.781149
114,Akikan no Tuna,"
N/A
        ","
49
        ",2022-07-13 02:57:47.781149
115,Recola,"
N/A
        ","
47
        ",2022-07-13 02:57:47.781149
116,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,"
N/A
        ","
66K
        ",2022-07-13 02:57:47.781149
117,Cyberpunk: Edgerunners,"
N/A
        ","
46K
        ",2022-07-13 02:57:47.781149
118,Kakegurui Twin,"
N/A
        ","
30K
        ",2022-07-13 02:57:47.781149
119,Bastard!! Ankoku no Hakaishin (ONA) Part 2,"
N/A
        ","
5.8K
        ",2022-07-13 02:57:47.781149
120,Overlord: Ple Ple Pleiades 4,"
6.39
        ","
5.7K
        ",2022-07-13 02:57:47.781149
121,Obey Me! Season 2,"
N/A
        ","
3.0K
        ",2022-07-13 02:57:47.781149
122,"Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei","
N/A
        ","
2.4K
        ",2022-07-13 02:57:47.781149
123,Yi Nian Yong Heng: Chuan Cheng Pian,"
N/A
        ","
2.0K
        ",2022-07-13 02:57:47.781149
124,"Mori no Kuma-san, Toumin-chuu.","
N/A
        ","
1.8K
        ",2022-07-13 02:57:47.781149
125,Rilakkuma to Yuuenchi,"
N/A
        ","
1.5K
        ",2022-07-13 02:57:47.781149
