anime,scores,members,datetime
Hataraku Maou-sama!!,"
7.61
        ","
311K
        ",2022-07-28 09:40:41.506929
Overlord IV,"
8.33
        ","
278K
        ",2022-07-28 09:40:41.506929
"Kanojo, Okarishimasu 2nd Season","
6.61
        ","
276K
        ",2022-07-28 09:40:41.506929
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,"
8.12
        ","
238K
        ",2022-07-28 09:40:41.506929
Yofukashi no Uta,"
8.04
        ","
235K
        ",2022-07-28 09:40:41.506929
Made in Abyss: Retsujitsu no Ougonkyou,"
8.76
        ","
223K
        ",2022-07-28 09:40:41.506929
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,"
7.91
        ","
175K
        ",2022-07-28 09:40:41.506929
Mamahaha no Tsurego ga Motokano datta,"
7.18
        ","
130K
        ",2022-07-28 09:40:41.506929
Lycoris Recoil,"
8.18
        ","
120K
        ",2022-07-28 09:40:41.506929
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,"
7.20
        ","
110K
        ",2022-07-28 09:40:41.506929
Engage Kiss,"
7.22
        ","
108K
        ",2022-07-28 09:40:41.506929
Isekai Meikyuu de Harem wo,"
7.02
        ","
106K
        ",2022-07-28 09:40:41.506929
Isekai Ojisan,"
7.98
        ","
104K
        ",2022-07-28 09:40:41.506929
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita","
6.48
        ","
98K
        ",2022-07-28 09:40:41.506929
Soredemo Ayumu wa Yosetekuru,"
7.40
        ","
94K
        ",2022-07-28 09:40:41.506929
Kumichou Musume to Sewagakari,"
7.84
        ","
78K
        ",2022-07-28 09:40:41.506929
Shadows House 2nd Season,"
7.90
        ","
62K
        ",2022-07-28 09:40:41.506929
Isekai Yakkyoku,"
7.71
        ","
61K
        ",2022-07-28 09:40:41.506929
RWBY: Hyousetsu Teikoku,"
7.27
        ","
58K
        ",2022-07-28 09:40:41.506929
Kuro no Shoukanshi,"
7.13
        ","
58K
        ",2022-07-28 09:40:41.506929
Saikin Yatotta Maid ga Ayashii,"
6.83
        ","
56K
        ",2022-07-28 09:40:41.506929
Hoshi no Samidare,"
5.98
        ","
34K
        ",2022-07-28 09:40:41.506929
Tokyo Mew Mew New ♡,"
6.92
        ","
30K
        ",2022-07-28 09:40:41.506929
Orient: Awajishima Gekitou-hen,"
7.18
        ","
24K
        ",2022-07-28 09:40:41.506929
Utawarerumono: Futari no Hakuoro,"
7.26
        ","
22K
        ",2022-07-28 09:40:41.506929
Jashin-chan Dropkick X,"
7.69
        ","
21K
        ",2022-07-28 09:40:41.506929
Bucchigire!,"
6.41
        ","
19K
        ",2022-07-28 09:40:41.506929
Love Live! Superstar!! 2nd Season,"
8.19
        ","
18K
        ",2022-07-28 09:40:41.506929
Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,"
6.65
        ","
17K
        ",2022-07-28 09:40:41.506929
Fuuto Tantei,"
N/A
        ","
15K
        ",2022-07-28 09:40:41.506929
Warau Arsnotoria Sun!,"
6.09
        ","
15K
        ",2022-07-28 09:40:41.506929
Prima Doll,"
6.82
        ","
15K
        ",2022-07-28 09:40:41.506929
Kami Kuzu☆Idol,"
6.68
        ","
13K
        ",2022-07-28 09:40:41.506929
Yurei Deco,"
6.39
        ","
13K
        ",2022-07-28 09:40:41.506929
Teppen!!!!!!!!!!!!!!!,"
6.29
        ","
11K
        ",2022-07-28 09:40:41.506929
Shoot! Goal to the Future,"
5.09
        ","
9.4K
        ",2022-07-28 09:40:41.506929
Musashino!,"
4.72
        ","
8.0K
        ",2022-07-28 09:40:41.506929
Shin Tennis no Ouji-sama: U-17 World Cup,"
7.14
        ","
8.0K
        ",2022-07-28 09:40:41.506929
